cricheroes_match_id,cricheroes_team_id,cricheroes_player_id,batting_order,is_captain,is_keeper,is_substitute
2278728,1597088,7662592,2,0,0,0
2278728,1597088,8445318,3,0,0,0
2278728,1597088,8453971,4,0,0,0
2278728,1597088,1224122,5,0,0,0
2278728,1597090,8445309,1,0,0,0
2278728,1597090,4416809,3,0,0,0
2278728,1597090,8445368,4,0,0,0
2278728,1597090,8445342,2,1,0,0
2278728,1597090,10031570,6,0,0,0
2278728,1597090,8444531,5,0,0,0
2278728,1597090,8469155,7,0,0,0
2278732,1597087,8578931,1,0,0,0
2278732,1597087,10031492,2,0,0,0
2278732,1597087,8444550,3,1,0,0
2278732,1597087,8452770,4,0,0,0
2278732,1597087,8445343,5,0,0,0
2278732,1597087,8445420,6,0,1,0
2278732,1597085,809867,1,0,0,0
2278732,1597085,8445292,5,0,0,0
2278732,1597085,8445414,3,0,0,0
2278732,1597085,809163,2,0,0,0
2278732,1597085,5922441,,0,0,0
2278732,1597085,8469156,,0,0,0
2278732,1597085,8444668,4,0,0,0
2278732,1597087,8846097,,0,0,0
2278742,1597084,5387685,1,0,0,0
2278742,1597084,8670699,2,0,0,0
2278742,1597084,8444682,3,0,0,0
2278742,1597084,8814171,4,0,0,0
2278742,1597084,10047098,5,0,0,0
2278742,1597084,10052031,6,0,0,0
2278742,1597084,8129644,7,1,0,0
2278742,1597084,10052056,8,0,0,0
2278742,1597090,8445309,1,0,0,0
2278742,1597090,4416809,3,0,0,0
2278742,1597090,8445342,2,1,0,0
2278742,1597090,8445368,5,0,0,0
2278742,1597090,10031570,4,0,0,0
2278772,1597091,8445356,1,0,0,0
2278772,1597091,10046726,2,0,0,0
2278772,1597091,5994303,3,0,0,0
2278772,1597091,8445499,4,0,0,0
2278772,1597087,8578931,1,0,0,0
2278772,1597087,8445420,6,0,0,0
2278772,1597087,10031492,2,0,0,0
2278772,1597087,8846097,,0,0,0
2278772,1597087,8452770,3,0,0,0
2278772,1597087,8444550,4,0,0,0
2278772,1597087,8445343,5,0,0,0
2278772,1597091,4143096,,0,0,0
2278772,1597091,4048334,,0,0,0
2278775,1597085,809867,1,0,0,0
2278775,1597085,809163,2,0,0,0
2278775,1597085,8556544,3,0,0,0
2278775,1597085,8445414,4,0,0,0
2278775,1597085,5922441,5,1,0,0
2278775,1597085,8444668,6,0,0,0
2278775,1597085,8445292,7,0,0,0
2278775,1597088,8556484,1,0,0,0
2278775,1597088,8445318,3,0,0,0
2278775,1597088,7662592,2,0,0,0
2278775,1597088,1224122,4,0,0,0
2278775,1597088,8453971,5,0,0,0
2278775,1597088,8445462,6,1,0,0
2278775,1597088,10052245,7,0,0,0
2278775,1597085,8469156,,0,0,0
2278779,1597087,8578931,1,0,0,0
2278779,1597087,10031492,2,0,0,0
2278779,1597087,8452770,3,0,0,0
2278779,1597087,8444550,4,1,0,0
2278779,1597084,5387685,1,0,0,0
2278779,1597084,8670699,5,0,0,0
2278779,1597084,8444682,2,0,0,0
2278779,1597084,8129644,3,1,0,0
2278779,1597084,8814171,4,0,0,0
2278779,1597084,10052031,6,0,0,0
2278779,1597087,8846097,,0,0,0
2278779,1597087,8445420,,0,1,0
2278783,1597085,809867,1,0,0,0
2278783,1597085,8556544,2,0,0,0
2278783,1597085,8445414,3,0,0,0
2278783,1597085,809163,4,0,0,0
2278783,1597085,8444668,5,0,0,0
2278783,1597085,5922441,6,0,0,0
2278783,1597090,8445309,,0,0,0
2278783,1597090,4416809,3,0,0,0
2278783,1597090,8445368,4,0,0,0
2278783,1597090,8445342,2,1,0,0
2278783,1597090,10031570,5,0,0,0
2278783,1597090,10052264,1,0,0,0
2278783,1597090,8444531,6,0,0,0
2278783,1597090,8469155,7,0,0,0
2278783,1597085,8469156,,0,1,0
2278786,1597091,8445356,1,0,0,0
2278786,1597091,4143096,2,0,0,0
2278786,1597091,4048334,3,1,0,0
2278786,1597091,5994303,4,0,0,0
2278786,1597091,8445499,5,0,0,0
2278786,1597091,10046726,6,0,1,0
2278786,1597088,8556484,1,0,0,0
2278786,1597088,7662592,2,0,0,0
2278786,1597088,1224122,4,0,0,0
2278786,1597088,8445318,3,0,0,0
2278786,1597088,8453971,5,0,0,0
2278786,1597088,8445462,6,1,0,0
2278786,1597088,10052245,7,0,0,0
2278786,1597091,6508655,,0,0,0
2303511,1597091,8445356,1,0,0,0
2303511,1597091,4143096,2,0,0,0
2303511,1597091,8445499,3,0,0,0
2303511,1597091,4048334,4,1,0,0
2303511,1597091,10046726,5,0,0,0
2303511,1597091,5994303,6,0,0,0
2303511,1597091,6508655,7,0,0,0
2303511,1597085,809867,1,0,0,0
2303511,1597085,5922441,,0,0,0
2303511,1597085,8469156,,0,0,0
2303511,1597085,8445414,3,0,0,0
2303511,1597085,809163,,0,0,0
2303511,1597085,8556544,2,0,0,0
2303560,1597084,5387685,1,0,0,0
2303560,1597084,10052056,2,0,0,0
2303560,1597084,8444682,3,0,0,0
2303560,1597084,8129644,4,1,0,0
2303560,1597084,8814171,5,0,0,0
2303560,1597087,8578931,1,0,0,0
2303560,1597087,10031492,5,0,0,0
2303560,1597087,8846097,7,0,0,0
2303560,1597087,8452770,3,0,0,0
2303560,1597087,8445420,6,0,0,0
2303560,1597087,8445343,2,0,0,0
2303560,1597087,8444550,4,1,0,0
2303560,1597084,8670699,,0,0,0
2308545,1597091,8445356,1,0,0,0
2308545,1597091,4143096,2,0,0,0
2308545,1597091,4048334,3,1,0,0
2308545,1597091,5994303,4,0,0,0
2308545,1597091,8445499,5,0,0,0
2308545,1597091,10046726,6,0,0,0
2308545,1597091,6508655,7,0,0,0
2308545,1597091,10110854,8,0,0,0
2308545,1597087,8578931,1,0,0,0
2308545,1597087,8452770,3,0,0,0
2308545,1597087,10031492,,0,0,0
2308545,1597087,8846097,,0,0,0
