cricheroes_tournament_id,cricheroes_team_id,cricheroes_player_id,name,rank,matches,batting,bowling,fielding,total
293657,1597091,4048334,Ravi Aniruddha,13,7,7.146,5.379,0.000,12.525
293657,1597087,10031492,Mady,14,8,6.282,5.990,0.144,12.416
293657,1597087,8445343,Anantha Madhava,15,6,7.092,3.945,0.600,11.637
293657,1597085,5922441,Prasanna,16,6,2.800,6.170,0.624,9.594
293657,1597084,5387685,Aprameya Guruprasad,17,6,6.277,2.963,0.000,9.240
293657,1597088,1224122,Badri (5a),18,5,0.938,6.109,1.680,8.727
293657,1597087,8445420,Madhusudhan K S,19,8,3.076,2.951,2.616,8.643
293657,1597088,7662592,Vittala,20,5,6.201,2.110,0.192,8.503
293657,1597088,8556484,Srinidhi Ns,21,5,7.379,0.925,0.000,8.304
293657,1597084,8814171,Pavan Raghavendra,22,6,5.176,1.379,1.050,7.605
293657,1597085,8469156,Sridhar,23,6,0.000,4.128,2.784,6.912
293657,1597087,8578931,Srihari,24,8,1.473,2.894,2.472,6.839
293657,1597088,8453971,Srikanth Krishnamurthy,25,5,0.996,0.045,5.016,6.057
293657,1597087,8846097,Nandan Kashyap,26,8,1.437,2.965,1.560,5.962
293657,1597085,809867,Prabhav Pk,27,7,3.605,1.745,0.000,5.350
293657,1597085,8445292,Mahesh,28,6,1.878,1.163,2.184,5.225
293657,1597090,8445342,Guruprasad Ramachandrachar,29,5,1.013,2.807,1.200,5.020
293657,1597090,10031570,Sridhar Ramchandrachar,30,5,3.040,0.554,1.104,4.698
293657,1597084,8670699,Ajith P,31,6,0.293,2.958,0.960,4.211
293657,1597084,10052031,Yashu,32,5,0.755,0.000,3.432,4.187
293657,1597085,8556544,Sudhindhra,33,4,3.194,0.000,0.960,4.154
293657,1597091,8445356,Pradyumna,34,7,2.929,1.153,0.000,4.082
293657,1597085,8444668,Srisha Badarayana H S,35,4,3.018,0.000,0.000,3.018
293657,1597090,8444531,Shreenidhi Prakash,36,5,2.009,-0.087,0.672,2.594
293657,1597091,10046726,Shrivatsa Hatwar,37,5,1.169,0.000,1.008,2.177
293657,1597088,10052245,Amith,38,5,0.560,0.349,0.600,1.509
293657,1597090,8445309,Sandeep,39,5,0.955,0.354,0.000,1.309
293657,1597091,6508655,Sudharshan,40,3,0.095,0.888,0.192,1.175
293657,1597084,10047098,Aditya Hatwar,41,1,0.197,-0.042,0.000,0.155
293657,1597090,10052264,Srikrishna,42,1,0.098,0.000,0.000,0.098
293657,1597090,8469155,Krishna Mys,42,1,0.098,0.000,0.000,0.098
293657,1597088,8445462,Prasad K S,43,1,0.000,-0.062,0.000,-0.062
443660,1597087,8452770,Ashrith Kashyap,1,8,36.442,3.129,1.152,40.723
443660,1597085,8445414,Tej,2,5,20.274,6.225,1.524,28.023
443660,1597090,4416809,Bharath G S Agasthya,3,6,8.575,8.532,1.824,18.931
443660,1597088,8445318,K S Akshay Kaushik,4,5,16.517,1.724,0.432,18.673
443660,1597087,10031492,Mady,5,8,14.062,3.415,0.912,18.389
443660,1597084,8814171,Pavan Raghavendra,6,7,10.572,4.048,1.824,16.444
443660,1597084,8129644,Pavan Kashyap,7,7,10.803,1.191,4.392,16.386
443660,1597091,8445499,Paneendra Gautham,8,7,8.630,5.533,1.920,16.083
443660,1597091,5994303,Srikanth T K,9,7,12.189,2.820,0.474,15.483
443660,1597084,5387685,Aprameya Guruprasad,10,7,10.583,3.700,0.480,14.763
443660,1597091,4048334,Ravi Aniruddha,11,7,10.263,1.312,0.144,11.719
443660,1597090,8444531,Shreenidhi Prakash,12,6,6.634,2.837,2.082,11.553
443660,1597084,8444682,Pavan Gautham,13,7,10.541,-0.018,0.672,11.195
443660,1597090,8445342,Guruprasad Ramachandrachar,14,6,5.584,1.972,1.344,8.900
443660,1597091,4143096,Aniruddha Dv,15,7,4.163,3.156,0.882,8.201
443660,1597088,7662592,Vittala,16,5,4.337,3.628,0.192,8.157
