cricheroes_match_id,innings_number,cricheroes_team_id,bowling_order,cricheroes_player_id,name,overs,maidens,runs,wickets,dots,fours_conceded,sixes_conceded,wides,noballs,economy_rate
1817613,2,1251253,3,8469155,Krishna Mys,1,0,12,0,4,0,2,0,0,12.00
1817613,2,1251253,4,8445342,Guruprasad Ramachandrachar  (c),1,0,15,0,1,0,2,0,0,15.00
1817613,2,1251253,5,4416809,BHARATH G S AGASTHYA,2,0,7,2,6,0,0,1,0,3.50
1817710,1,1251256,1,8556484,Srinidhi NS,1,0,3,0,5,0,0,2,0,3.00
1817710,1,1251256,2,6508655,Sudharshan,1,0,19,0,1,1,2,1,0,19.00
1817710,1,1251256,3,8556507,Prabhanjan,1,0,16,0,1,0,2,1,0,16.00
1817710,1,1251256,4,1224122,Badriprasad,2,0,22,1,5,1,2,2,0,11.00
1817710,1,1251256,5,8445318,K S AKSHAY KAUSHIK,1,0,12,0,3,0,1,1,0,12.00
1817710,2,1251263,1,809867,Prabhav PK,1,0,17,1,1,2,1,1,0,17.00
1817710,2,1251263,2,4143096,Aniruddha Dv,1,0,3,1,3,0,0,0,0,3.00
1817710,2,1251263,3,4048334,Ravi Aniruddha  (c),2,0,27,0,4,0,3,4,0,13.50
1817710,2,1251263,4,8469156,Sridhar,1,0,16,0,2,0,2,1,1,16.00
1817710,2,1251263,5,8445499,Paneendra Gautham,1,0,8,0,3,0,1,0,0,8.00
1817785,1,1251263,1,809867,Prabhav PK,1,0,6,0,6,0,0,6,0,6.00
1817785,1,1251263,2,8445343,Anantha Madhava,1,0,11,2,2,0,1,2,0,11.00
1817785,1,1251263,3,4048334,Ravi Aniruddha  (c),1,0,7,1,2,0,0,3,0,7.00
1817785,1,1251263,4,4143096,Aniruddha Dv,2,0,12,0,3,0,0,2,0,6.00
1817785,1,1251263,5,8445499,Paneendra Gautham,1,0,6,1,2,0,0,2,0,6.00
1817785,2,1251253,1,8445356,Pradyumna,1,0,3,0,5,0,0,1,1,3.00
1817785,2,1251253,2,8445342,Guruprasad Ramachandrachar  (c),1,0,3,0,3,0,0,0,0,3.00
1817785,2,1251253,3,4416809,BHARATH G S AGASTHYA,2,0,18,1,8,0,2,4,0,9.00
1817785,2,1251253,4,8467573,Ajith,1,0,5,1,2,0,0,0,0,5.00
1817785,2,1251253,5,8469155,Krishna Mys,0.5,0,14,0,2,0,2,1,0,16.80
2278728,1,1597090,1,8445309,Sandeep,1,0,13,0,1,0,1,2,1,13.00
2278728,1,1597090,2,4416809,BHARATH G S AGASTHYA,2,0,15,0,4,0,1,1,1,7.50
2278728,1,1597090,3,8445368,Jeethu,2,0,5,2,11,0,0,3,1,2.50
2278728,1,1597090,4,8445342,Guruprasad Ramachandrachar  (c),1,0,2,0,5,0,0,1,0,2.00
2278728,1,1597090,5,10031570,Sridhar Ramchandrachar,1,0,7,0,4,0,1,0,0,7.00
2278728,2,1597088,1,8556484,Srinidhi NS,1,0,1,0,5,0,0,0,0,1.00
2278728,2,1597088,2,8445318,K S AKSHAY KAUSHIK,1,0,6,0,0,0,0,0,0,6.00
2278728,2,1597088,3,1224122,Badriprasad,2,0,23,0,6,0,2,3,2,11.50
2278728,2,1597088,4,7662592,Vittala,1.3,0,15,2,3,0,1,2,1,10.00
2278732,1,1597085,1,809867,Prabhav PK,1,0,6,0,3,0,0,3,0,6.00
2278732,1,1597085,2,8445292,Mahesh,1,0,21,0,2,0,3,2,0,21.00
2278732,1,1597085,3,8445414,Tej,2,0,5,0,8,0,0,1,0,2.50
2278732,1,1597085,4,809163,Pranav PK,1,0,14,0,2,0,2,0,0,14.00
2278732,1,1597085,5,5922441,Prasanna  (c),1,0,10,1,2,0,1,1,0,10.00
2278732,1,1597085,6,8469156,Sridhar,1,0,19,0,3,0,3,0,1,19.00
2278732,2,1597087,1,8578931,Srihari,1,0,5,0,1,0,0,0,0,5.00
2278732,2,1597087,2,10031492,Mady,2,0,29,1,5,0,4,1,1,14.50
2278732,2,1597087,3,8846097,Vishnunandan,2,0,28,1,7,0,4,1,1,14.00
2278732,2,1597087,4,8452770,Ashrith Kashyap,0.4,0,13,0,1,0,2,0,0,19.50
2278742,1,1597090,1,8445309,Sandeep,1,0,9,0,3,0,1,1,0,9.00
2278742,1,1597090,2,4416809,BHARATH G S AGASTHYA,2,0,7,5,10,0,1,0,0,3.50
2278742,1,1597090,3,8445342,Guruprasad Ramachandrachar  (c),1,0,6,0,5,0,1,0,0,6.00
2278742,1,1597090,4,8445368,Jeethu,2,0,24,0,7,2,2,2,1,12.00
2278742,1,1597090,5,10031570,Sridhar Ramchandrachar,1,0,11,1,4,1,1,1,0,11.00
2278742,2,1597084,1,5387685,Aprameya Guruprasad,1,0,1,0,5,0,0,0,0,1.00
2278742,2,1597084,2,8670699,Ajith P,1,0,3,1,4,0,0,0,1,3.00
2278742,2,1597084,3,8444682,Pavan Gautham,1,0,7,0,4,0,1,0,0,7.00
2278742,2,1597084,4,8129644,Pavan Kashyap  (c),1.2,0,21,0,3,1,2,3,0,15.75
2278742,2,1597084,5,8814171,Pavan Raghavendra,1,0,29,0,2,1,4,0,1,29.00
2278772,1,1597087,1,8578931,Srihari,1,0,2,0,5,0,0,0,0,2.00
2278772,1,1597087,2,8445420,Madhusudhan K S,1,0,9,1,2,0,1,0,0,9.00
2278772,1,1597087,3,10031492,Mady,2,0,9,0,7,1,0,1,0,4.50
2278772,1,1597087,4,8846097,Vishnunandan,2,0,41,0,2,0,6,1,0,20.50
2278772,1,1597087,5,8452770,Ashrith Kashyap,1,0,8,0,1,1,0,0,0,8.00
2278772,2,1597091,1,8445356,Pradyumna,1,0,3,0,5,0,0,2,0,3.00
2278772,2,1597091,2,4143096,Aniruddha Dv,2,0,24,0,3,3,1,1,0,12.00
2278772,2,1597091,3,4048334,Ravi Aniruddha  (c),1,0,18,1,2,1,2,1,0,18.00
2278772,2,1597091,4,5994303,Srikanth T K,1,0,21,0,0,0,3,0,0,21.00
2278772,2,1597091,5,8445499,Paneendra Gautham,1.1,0,9,1,3,0,1,0,0,7.71
2278775,1,1597088,1,8556484,Srinidhi NS,1,0,5,0,5,0,0,0,3,5.00
2278775,1,1597088,2,8445318,K S AKSHAY KAUSHIK,2,0,25,0,6,0,3,1,1,12.50
2278775,1,1597088,3,7662592,Vittala,2,0,15,0,4,0,1,1,0,7.50
2278775,1,1597088,4,1224122,Badriprasad,2,0,30,2,6,0,4,3,1,15.00
2278775,2,1597085,1,809867,Prabhav PK,1,0,16,0,2,0,2,1,1,16.00
2278775,2,1597085,2,8445414,Tej,2,1,7,3,10,0,1,0,0,3.50
2278775,2,1597085,3,809163,Pranav PK,1,0,19,0,2,0,3,0,0,19.00
2278775,2,1597085,4,8469156,Sridhar,0.5,0,9,1,2,0,1,1,0,10.80
2278779,1,1597084,1,5387685,Aprameya Guruprasad,1,0,1,0,5,0,0,0,0,1.00
2278779,1,1597084,2,8670699,Ajith P,2,0,18,0,2,1,1,0,0,9.00
2278779,1,1597084,3,8444682,Pavan Gautham,1,0,28,0,0,0,4,2,0,28.00
2278779,1,1597084,4,8129644,Pavan Kashyap  (c),2,0,36,0,2,0,4,5,1,18.00
2278779,1,1597084,5,8814171,Pavan Raghavendra,1,0,17,0,1,0,2,0,1,17.00
