cricheroes_match_id,cricheroes_tournament_id,season,match_number,stage,cricheroes_team_a_id,cricheroes_team_b_id,team_a_name,team_b_name,scheduled_at,started_at,ended_at,venue,overs_per_innings,players_per_side,cricheroes_toss_winner_id,toss_decision,status,result_type,cricheroes_winner_id,winner_name,win_margin,cricheroes_pom_player_id,pom_player_name,cricheroes_round_name,match_result,is_super_over,ground_name,city_name
2278723,293657,2,7,group,1597084,1597091,Hoysala Hunters,Vijayanagara Royals,2021-10-03T07:43:17.000Z,2021-10-03T07:43:17.000Z,2021-10-03 08:11:48,Pro Legacy Sports Academy,7,6,1597091,bowl,completed,normal,1597084,Hoysala Hunters,11 runs,8444682,Pavan Gautham,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
2278728,293657,2,8,group,1597088,1597090,Kadamba Yodhas.,Wodeyars The Kings,2021-10-03T08:14:03.000Z,2021-10-03T08:14:03.000Z,2021-10-03 09:15:19,Pro Legacy Sports Academy,7,6,1597090,bowl,completed,normal,1597090,Wodeyars The Kings,3 wickets,10031570,Sridhar Ramchandrachar,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
2278732,293657,2,9,group,1597087,1597085,Rashtrakuta Ranadheeras,Chalukya Chakravarthis,2021-10-03T09:21:43.000Z,2021-10-03T09:21:43.000Z,2021-10-03 09:51:29,Pro Legacy Sports Academy,7,6,1597087,bat,completed,normal,1597085,Chalukya Chakravarthis,4 wickets,8445414,Tej,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
2278742,293657,2,10,group,1597084,1597090,Hoysala Hunters,Wodeyars The Kings,2021-10-03T09:58:09.000Z,2021-10-03T09:58:09.000Z,2021-10-03 10:27:01,Pro Legacy Sports Academy,7,6,1597090,bowl,completed,normal,1597090,Wodeyars The Kings,6 wickets,4416809,Bharath G S Agasthya,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
2278772,293657,2,11,group,1597091,1597087,Vijayanagara Royals,Rashtrakuta Ranadheeras,2021-10-03T10:30:38.000Z,2021-10-03T10:30:38.000Z,2021-10-03 11:22:57,Pro Legacy Sports Academy,7,6,1597087,bowl,completed,normal,1597087,Rashtrakuta Ranadheeras,3 wickets,8444550,Bharadwaj Srivatsa,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
2278775,293657,2,12,group,1597085,1597088,Chalukya Chakravarthis,Kadamba Yodhas,2021-10-03T11:25:06.000Z,2021-10-03T11:25:06.000Z,2021-10-03 11:59:49,Pro Legacy Sports Academy,7,6,1597088,bowl,completed,normal,1597085,Chalukya Chakravarthis,24 runs,8445414,Tej,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
2278779,293657,2,13,group,1597087,1597084,Rashtrakuta Ranadheeras,Hoysala Hunters,2021-10-03T12:05:06.000Z,2021-10-03T12:05:06.000Z,2021-10-03 12:42:36,Pro Legacy Sports Academy,7,6,1597084,bowl,completed,normal,1597087,Rashtrakuta Ranadheeras,27 runs,8452770,Ashrith Kashyap,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
2278783,293657,2,14,group,1597085,1597090,Chalukya Chakravarthis,Wodeyars The Kings,2021-10-03T12:46:53.000Z,2021-10-03T12:46:53.000Z,2021-10-03 13:23:44,Pro Legacy Sports Academy,7,6,1597090,bowl,completed,normal,1597085,Chalukya Chakravarthis,18 runs,809163,Pranav Pk,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
2278786,293657,2,15,group,1597091,1597088,Vijayanagara Royals,Kadamba Yodhas,2021-10-03T13:27:22.000Z,2021-10-03T13:27:22.000Z,2021-10-03 13:58:26,Pro Legacy Sports Academy,7,6,1597091,bat,completed,normal,1597091,Vijayanagara Royals,47 runs,4143096,Aniruddha Dv,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
2303511,293657,2,16,qualifier,1597091,1597085,Vijayanagara Royals,Chalukya Chakravarthis,2021-10-03T15:11:53.000Z,2021-10-03T15:11:53.000Z,2021-10-03 15:37:46,Pro Legacy Sports Academy,7,6,1597091,bat,completed,normal,1597085,Chalukya Chakravarthis,6 wickets,8445414,Tej,Qualifier 1,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
