cricheroes_match_id,innings_number,cricheroes_team_id,batting_order,cricheroes_player_id,name,is_captain,runs,balls,minutes,fours,sixes,strike_rate,batting_hand,how_to_out,is_out
6947011,2,1597084,5,10031492,Mady,0,9,8,5,0,1,112.50,RHB,c †Ajith P b BHARATH G S AGASTHYA,1
6947011,2,1597084,6,8129644,Pavan Kashyap,1,18,5,1,0,3,360.00,RHB,not out,0
6947023,1,1597085,1,809867,Prabhav PK,0,3,6,3,0,0,50.00,RHB,retired hurt,1
6947023,1,1597085,2,8556484,Srinidhi NS,0,0,0,2,0,0,0.00,RHB,run out Srihari,1
6947023,1,1597085,3,5922441,Prasanna,1,4,6,9,0,0,66.67,RHB,not out,0
6947023,1,1597085,4,8556544,Sudhindhra  (wk),0,4,7,4,0,0,57.14,RHB,c Vittala b Bharadwaj Srivatsa,1
6947023,1,1597085,5,8445414,Tej,0,9,8,7,0,1,112.50,RHB,c Pranav PK b Ashrith Kashyap,1
6947023,1,1597085,6,8846097,Vishnunandan,0,17,12,9,1,1,141.67,LHB,b Bharadwaj Srivatsa,1
6947023,1,1597085,7,5994303,Srikanth T K,0,6,3,1,0,1,200.00,RHB,c Ashrith Kashyap b Pranav PK,1
6947023,2,1597087,1,8578931,Srihari,0,1,3,2,0,0,33.33,LHB,retired hurt,1
6947023,2,1597087,2,7662592,Vittala,0,1,5,4,0,0,20.00,RHB,retired hurt,1
6947023,2,1597087,3,10031570,Sridhar Ramchandrachar,0,1,4,1,0,0,25.00,LHB,c Tej b Sudhindhra,1
6947023,2,1597087,4,8444550,Bharadwaj Srivatsa,1,1,6,2,0,0,16.67,RHB,c Srinidhi NS b Prasanna,1
6947023,2,1597087,5,809163,Pranav PK,0,20,13,12,1,2,153.85,RHB,not out,0
6947023,2,1597087,6,8452770,Ashrith Kashyap,0,12,4,1,0,2,300.00,RHB,st †Sudhindhra b Prasanna,1
6947023,2,1597087,7,10047098,Aditya Hatwar,0,9,9,9,0,1,100.00,RHB,not out,0
6947039,1,388115,1,8450899,Sandeep,0,2,3,7,0,0,66.67,LHB,retired out,1
6947039,1,388115,2,8670699,Ajith P,0,0,3,6,0,0,0.00,RHB,run out Madhusudhan K S,1
6947039,1,388115,3,4416809,BHARATH G S AGASTHYA,0,26,15,13,0,4,173.33,RHB,run out Paneendra Gautham,1
6947039,1,388115,4,10052159,Praveena,1,12,13,8,0,1,92.31,RHB,not out,0
6947039,1,388115,5,8444682,Pavan Gautham,0,0,5,1,0,0,0.00,RHB,c †Guruprasad Ramachandrachar b Jeethu,1
6947039,1,388115,6,10052031,Yashu,0,0,2,2,0,0,0.00,RHB,c Jeethu b Guruprasad Ramachandrachar,1
6947039,1,388115,7,8556507,Prabhanjan,0,0,1,1,0,0,0.00,RHB,b Guruprasad Ramachandrachar,1
6947039,2,1597090,1,10052264,Srikrishna,0,2,6,2,0,0,33.33,RHB,retired hurt,1
6947039,2,1597090,2,8445499,Paneendra Gautham,0,4,1,6,1,0,400.00,RHB,retired hurt,1
